"G","R","variance","beta","alpha","c1","c2","total_cost"
50,24,0.106246602363689,1,0,10,5,6250
50,22,0.106246602363689,1,0,10,5,5750
50,21,0.106246602363689,1,0,10,5,5500
50,20,0.106246602363689,1,0,10,5,5250
50,19,0.106246602363689,1,0,10,5,5000
55,399,0.0659613514012159,1,0,10,5,110000
55,199,0.0659613514012159,1,0,10,5,55000
55,132,0.0659613514012159,1,0,10,5,36575
55,99,0.0659613514012159,1,0,10,5,27500
55,79,0.0659613514012159,1,0,10,5,22000
55,65,0.0659613514012159,1,0,10,5,18150
55,56,0.0659613514012159,1,0,10,5,15675
55,49,0.0659613514012159,1,0,10,5,13750
55,43,0.0659613514012159,1,0,10,5,12100
55,39,0.0659613514012159,1,0,10,5,11000
55,35,0.0659613514012159,1,0,10,5,9900
55,32,0.0659613514012159,1,0,10,5,9075
55,29,0.0659613514012159,1,0,10,5,8250
55,27,0.0659613514012159,1,0,10,5,7700
55,25,0.0659613514012159,1,0,10,5,7150
55,24,0.0659613514012159,1,0,10,5,6875
55,22,0.0659613514012159,1,0,10,5,6325
55,21,0.0659613514012159,1,0,10,5,6050
55,20,0.0659613514012159,1,0,10,5,5775
55,19,0.0659613514012159,1,0,10,5,5500
60,399,0.0711237599071211,1,0,10,5,120000
60,199,0.0711237599071211,1,0,10,5,60000
60,132,0.0711237599071211,1,0,10,5,39900
60,99,0.0711237599071211,1,0,10,5,30000
60,79,0.0711237599071211,1,0,10,5,24000
60,65,0.0711237599071211,1,0,10,5,19800
60,56,0.0711237599071211,1,0,10,5,17100
60,49,0.0711237599071211,1,0,10,5,15000
60,43,0.0711237599071211,1,0,10,5,13200
60,39,0.0711237599071211,1,0,10,5,12000
60,35,0.0711237599071211,1,0,10,5,10800
60,32,0.0711237599071211,1,0,10,5,9900
60,29,0.0711237599071211,1,0,10,5,9000
60,27,0.0711237599071211,1,0,10,5,8400
60,25,0.0711237599071211,1,0,10,5,7800
60,24,0.0711237599071211,1,0,10,5,7500
60,22,0.0711237599071211,1,0,10,5,6900
60,21,0.0711237599071211,1,0,10,5,6600
60,20,0.0711237599071211,1,0,10,5,6300
60,19,0.0711237599071211,1,0,10,5,6000
65,399,0.0955560079159106,1,0,10,5,130000
65,199,0.0955560079159106,1,0,10,5,65000
65,132,0.0955560079159106,1,0,10,5,43225
65,99,0.0955560079159106,1,0,10,5,32500
65,79,0.0955560079159106,1,0,10,5,26000
65,65,0.0955560079159106,1,0,10,5,21450
65,56,0.0955560079159106,1,0,10,5,18525
65,49,0.0955560079159106,1,0,10,5,16250
65,43,0.0955560079159106,1,0,10,5,14300
65,39,0.0955560079159106,1,0,10,5,13000
65,35,0.0955560079159106,1,0,10,5,11700
65,32,0.0955560079159106,1,0,10,5,10725
65,29,0.0955560079159106,1,0,10,5,9750
65,27,0.0955560079159106,1,0,10,5,9100
65,25,0.0955560079159106,1,0,10,5,8450
65,24,0.0955560079159106,1,0,10,5,8125
65,22,0.0955560079159106,1,0,10,5,7475
65,21,0.0955560079159106,1,0,10,5,7150
65,20,0.0955560079159106,1,0,10,5,6825
65,19,0.0955560079159106,1,0,10,5,6500
70,399,0.0647966532258157,1,0,10,5,140000
70,199,0.0647966532258157,1,0,10,5,70000
70,132,0.0647966532258157,1,0,10,5,46550
70,99,0.0647966532258157,1,0,10,5,35000
70,79,0.0647966532258157,1,0,10,5,28000
70,65,0.0647966532258157,1,0,10,5,23100
70,56,0.0647966532258157,1,0,10,5,19950
70,49,0.0647966532258157,1,0,10,5,17500
70,43,0.0647966532258157,1,0,10,5,15400
70,39,0.0647966532258157,1,0,10,5,14000
70,35,0.0647966532258157,1,0,10,5,12600
70,32,0.0647966532258157,1,0,10,5,11550
70,29,0.0647966532258157,1,0,10,5,10500
70,27,0.0647966532258157,1,0,10,5,9800
70,25,0.0647966532258157,1,0,10,5,9100
70,24,0.0647966532258157,1,0,10,5,8750
70,22,0.0647966532258157,1,0,10,5,8050
70,21,0.0647966532258157,1,0,10,5,7700
70,20,0.0647966532258157,1,0,10,5,7350
70,19,0.0647966532258157,1,0,10,5,7000
75,399,0.0626995349635335,1,0,10,5,150000
75,199,0.0626995349635335,1,0,10,5,75000
75,132,0.0626995349635335,1,0,10,5,49875
75,99,0.0626995349635335,1,0,10,5,37500
75,79,0.0626995349635335,1,0,10,5,30000
75,65,0.0626995349635335,1,0,10,5,24750
75,56,0.0626995349635335,1,0,10,5,21375
75,49,0.0626995349635335,1,0,10,5,18750
75,43,0.0626995349635335,1,0,10,5,16500
75,39,0.0626995349635335,1,0,10,5,15000
75,35,0.0626995349635335,1,0,10,5,13500
75,32,0.0626995349635335,1,0,10,5,12375
75,29,0.0626995349635335,1,0,10,5,11250
75,27,0.0626995349635335,1,0,10,5,10500
75,25,0.0626995349635335,1,0,10,5,9750
75,24,0.0626995349635335,1,0,10,5,9375
75,22,0.0626995349635335,1,0,10,5,8625
75,21,0.0626995349635335,1,0,10,5,8250
75,20,0.0626995349635335,1,0,10,5,7875
75,19,0.0626995349635335,1,0,10,5,7500
80,399,0.0536318168713054,1,0,10,5,160000
80,199,0.0536318168713054,1,0,10,5,80000
80,132,0.0536318168713054,1,0,10,5,53200
80,99,0.0536318168713054,1,0,10,5,40000
80,79,0.0536318168713054,1,0,10,5,32000
80,65,0.0536318168713054,1,0,10,5,26400
80,56,0.0536318168713054,1,0,10,5,22800
80,49,0.0536318168713054,1,0,10,5,20000
80,43,0.0536318168713054,1,0,10,5,17600
80,39,0.0536318168713054,1,0,10,5,16000
80,35,0.0536318168713054,1,0,10,5,14400
80,32,0.0536318168713054,1,0,10,5,13200
80,29,0.0536318168713054,1,0,10,5,12000
80,27,0.0536318168713054,1,0,10,5,11200
80,25,0.0536318168713054,1,0,10,5,10400
80,24,0.0536318168713054,1,0,10,5,10000
80,22,0.0536318168713054,1,0,10,5,9200
80,21,0.0536318168713054,1,0,10,5,8800
80,20,0.0536318168713054,1,0,10,5,8400
80,19,0.0536318168713054,1,0,10,5,8000
85,399,0.0484363750354834,1,0,10,5,170000
85,199,0.0484363750354834,1,0,10,5,85000
85,132,0.0484363750354834,1,0,10,5,56525
85,99,0.0484363750354834,1,0,10,5,42500
85,79,0.0484363750354834,1,0,10,5,34000
85,65,0.0484363750354834,1,0,10,5,28050
85,56,0.0484363750354834,1,0,10,5,24225
85,49,0.0484363750354834,1,0,10,5,21250
85,43,0.0484363750354834,1,0,10,5,18700
85,39,0.0484363750354834,1,0,10,5,17000
85,35,0.0484363750354834,1,0,10,5,15300
85,32,0.0484363750354834,1,0,10,5,14025
85,29,0.0484363750354834,1,0,10,5,12750
85,27,0.0484363750354834,1,0,10,5,11900
85,25,0.0484363750354834,1,0,10,5,11050
85,24,0.0484363750354834,1,0,10,5,10625
85,22,0.0484363750354834,1,0,10,5,9775
85,21,0.0484363750354834,1,0,10,5,9350
85,20,0.0484363750354834,1,0,10,5,8925
85,19,0.0484363750354834,1,0,10,5,8500
90,399,0.0440944232304875,1,0,10,5,180000
90,199,0.0440944232304875,1,0,10,5,90000
90,132,0.0440944232304875,1,0,10,5,59850
90,99,0.0440944232304875,1,0,10,5,45000
90,79,0.0440944232304875,1,0,10,5,36000
90,65,0.0440944232304875,1,0,10,5,29700
90,56,0.0440944232304875,1,0,10,5,25650
90,49,0.0440944232304875,1,0,10,5,22500
90,43,0.0440944232304875,1,0,10,5,19800
90,39,0.0440944232304875,1,0,10,5,18000
90,35,0.0440944232304875,1,0,10,5,16200
90,32,0.0440944232304875,1,0,10,5,14850
90,29,0.0440944232304875,1,0,10,5,13500
90,27,0.0440944232304875,1,0,10,5,12600
90,25,0.0440944232304875,1,0,10,5,11700
90,24,0.0440944232304875,1,0,10,5,11250
90,22,0.0440944232304875,1,0,10,5,10350
90,21,0.0440944232304875,1,0,10,5,9900
90,20,0.0440944232304875,1,0,10,5,9450
90,19,0.0440944232304875,1,0,10,5,9000
95,399,0.0391216149495074,1,0,10,5,190000
95,199,0.0391216149495074,1,0,10,5,95000
95,132,0.0391216149495074,1,0,10,5,63175
95,99,0.0391216149495074,1,0,10,5,47500
95,79,0.0391216149495074,1,0,10,5,38000
95,65,0.0391216149495074,1,0,10,5,31350
95,56,0.0391216149495074,1,0,10,5,27075
95,49,0.0391216149495074,1,0,10,5,23750
95,43,0.0391216149495074,1,0,10,5,20900
95,39,0.0391216149495074,1,0,10,5,19000
95,35,0.0391216149495074,1,0,10,5,17100
95,32,0.0391216149495074,1,0,10,5,15675
95,29,0.0391216149495074,1,0,10,5,14250
95,27,0.0391216149495074,1,0,10,5,13300
95,25,0.0391216149495074,1,0,10,5,12350
95,24,0.0391216149495074,1,0,10,5,11875
95,22,0.0391216149495074,1,0,10,5,10925
95,21,0.0391216149495074,1,0,10,5,10450
95,20,0.0391216149495074,1,0,10,5,9975
95,19,0.0391216149495074,1,0,10,5,9500
100,399,0.0480917962619787,1,0,10,5,2e+05
100,199,0.0480917962619787,1,0,10,5,1e+05
100,132,0.0480917962619787,1,0,10,5,66500
100,99,0.0480917962619787,1,0,10,5,50000
100,79,0.0480917962619787,1,0,10,5,40000
100,65,0.0480917962619787,1,0,10,5,33000
100,56,0.0480917962619787,1,0,10,5,28500
100,49,0.0480917962619787,1,0,10,5,25000
100,43,0.0480917962619787,1,0,10,5,22000
100,39,0.0480917962619787,1,0,10,5,20000
100,35,0.0480917962619787,1,0,10,5,18000
100,32,0.0480917962619787,1,0,10,5,16500
100,29,0.0480917962619787,1,0,10,5,15000
100,27,0.0480917962619787,1,0,10,5,14000
100,25,0.0480917962619787,1,0,10,5,13000
100,24,0.0480917962619787,1,0,10,5,12500
100,22,0.0480917962619787,1,0,10,5,11500
100,21,0.0480917962619787,1,0,10,5,11000
100,20,0.0480917962619787,1,0,10,5,10500
100,19,0.0480917962619787,1,0,10,5,10000
